Column2	Column3
2018-10-23T18:03:23.809Z	29.940907
2018-10-23T18:03:24.060Z	29.665767
2018-10-23T18:03:24.153Z	29.576667
2018-10-23T18:03:24.197Z	31.527116
2018-10-23T18:03:24.533Z	31.236269
2018-10-23T18:03:24.540Z	31.204053
2018-10-23T18:03:24.899Z	30.829974
2018-10-23T18:03:25.100Z	32.630459
2018-10-23T18:03:25.207Z	32.536227
2018-10-23T18:03:25.216Z	32.534613
2018-10-23T18:03:25.614Z	32.108894
2018-10-23T18:03:26.186Z	31.535669
2018-10-23T18:03:26.544Z	31.183648
2018-10-23T18:03:26.673Z	31.06554
2018-10-23T18:03:26.953Z	32.781597
2018-10-23T18:03:27.118Z	32.610087
2018-10-23T18:03:27.200Z	32.522057
2018-10-23T18:03:27.640Z	32.105792
2018-10-23T18:03:28.114Z	31.60956
2018-10-23T18:03:28.666Z	31.109391
2018-10-23T18:03:28.948Z	30.778877
2018-10-23T18:03:29.232Z	30.495776
2018-10-23T18:03:29.308Z	32.417443
2018-10-23T18:03:29.315Z	32.404037
2018-10-23T18:03:29.614Z	32.111204
2018-10-23T18:03:29.861Z	31.861067
2018-10-23T18:03:30.116Z	31.61072
2018-10-23T18:03:30.708Z	31.106897
2018-10-23T18:03:30.886Z	30.848094
2018-10-23T18:03:31.182Z	30.542076
2018-10-23T18:03:31.404Z	30.31762
2018-10-23T18:03:31.624Z	30.100097
2018-10-23T18:03:31.770Z	29.950788
2018-10-23T18:03:31.938Z	29.795354
2018-10-23T18:03:32.029Z	31.697271
2018-10-23T18:03:32.107Z	31.618851
2018-10-23T18:03:32.385Z	31.359776
2018-10-23T18:03:32.614Z	31.109947
2018-10-23T18:03:32.866Z	30.860663
2018-10-23T18:03:33.129Z	30.605556
2018-10-23T18:03:33.366Z	30.357941
2018-10-23T18:03:33.972Z	29.852596
2018-10-23T18:03:34.000Z	29.754022
2018-10-23T18:03:34.138Z	29.634202
2018-10-23T18:03:34.443Z	31.339485
2018-10-23T18:03:34.487Z	31.326948
2018-10-23T18:03:34.649Z	31.101794
2018-10-23T18:03:34.866Z	30.890025
2018-10-23T18:03:35.279Z	30.515181
2018-10-23T18:03:35.363Z	30.853785
2018-10-23T18:03:35.420Z	32.333827
2018-10-23T18:03:35.603Z	32.153275
2018-10-23T18:03:35.622Z	32.136097
2018-10-23T18:03:36.231Z	31.531251
2018-10-23T18:03:36.760Z	31.125434
2018-10-23T18:03:36.910Z	30.854668
2018-10-23T18:03:36.921Z	30.845834
2018-10-23T18:03:37.150Z	32.638189
2018-10-23T18:03:37.353Z	32.419106
2018-10-23T18:03:37.386Z	32.397728
2018-10-23T18:03:37.866Z	31.927527
2018-10-23T18:03:38.117Z	31.678886
