Interval	Avg	Std	CI=0.95	Min	Median	Max
  200 --   201	25.559	3.685	4.575	19.567	27.474	29.273
  201 --   202	25.651	4.313	5.355	18.357	27.325	29.939
  202 --   203	26.212	4.739	5.884	17.886	28.973	30.887
  203 --   204	26.470	3.936	4.888	19.519	28.175	30.371
  204 --   205	26.991	3.376	4.192	21.605	27.817	30.636
  205 --   206	27.785	2.913	3.617	23.725	27.160	31.097
  206 --   207	27.649	2.877	3.572	22.653	27.598	30.538
  207 --   208	27.449	3.727	4.628	21.242	26.802	31.718
  208 --   209	26.863	3.924	4.872	19.806	27.363	31.201
  209 --   210	26.683	3.447	4.280	20.422	27.131	30.526
  210 --   211	27.748	3.590	4.457	20.744	29.521	30.455
  211 --   212	27.471	3.762	4.671	20.086	28.667	30.492
  212 --   213	28.091	3.293	4.089	22.086	28.351	31.834
  213 --   214	28.518	3.442	4.274	21.940	29.545	31.635
  214 --   215	28.818	3.019	3.749	23.416	30.546	31.288
  215 --   216	29.398	3.044	3.780	23.723	31.337	31.809
  216 --   217	28.962	3.381	4.198	22.742	31.258	31.514
  217 --   218	29.277	3.475	4.314	22.857	31.338	32.176
  218 --   219	29.707	3.214	3.990	24.502	31.330	33.575
  219 --   220	29.546	2.865	3.557	25.992	30.273	34.047
  220 --   221	29.698	3.215	3.992	25.004	30.708	34.461
  221 --   222	29.878	2.356	2.925	26.398	30.281	33.594
  222 --   223	30.417	1.439	1.787	28.217	30.534	32.660
  223 --   224	29.967	1.590	1.975	27.351	30.474	31.633
  224 --   225	29.502	1.745	2.167	26.362	29.641	31.568
  225 --   226	29.014	2.079	2.581	25.185	29.468	30.977
  226 --   227	29.174	2.545	3.160	24.407	30.417	31.252
  227 --   228	29.809	1.939	2.407	26.291	30.806	31.838
  228 --   229	29.092	2.131	2.645	25.001	29.662	31.222
  229 --   230	28.080	2.107	2.616	23.951	28.753	29.893
  230 --   231	27.849	1.830	2.273	24.766	28.021	30.525
  231 --   232	27.712	2.270	2.819	24.180	27.199	30.370
  232 --   233	28.160	2.071	2.572	24.980	27.806	30.711
  233 --   234	28.154	1.637	2.033	25.450	28.375	30.225
  234 --   235	28.155	1.830	2.272	24.883	28.171	30.218
  235 --   236	28.186	1.365	1.695	26.419	27.875	30.079
  236 --   237	28.896	1.915	2.377	26.166	29.172	31.225
  237 --   238	28.433	2.232	2.771	25.887	28.879	31.733
  238 --   239	29.220	1.264	1.570	27.409	29.270	31.307
  239 --   240	29.645	0.893	1.108	28.609	29.180	30.993
  240 --   241	29.214	1.357	1.685	27.952	28.398	31.389
  241 --   242	28.739	1.238	1.537	26.628	28.735	30.435
  242 --   243	28.843	1.258	1.562	27.318	28.280	30.792
  243 --   244	28.247	1.309	1.626	26.881	27.490	30.474
  244 --   245	27.846	1.362	1.691	26.210	27.503	29.596
  245 --   246	28.060	2.153	2.674	25.009	29.224	30.574
  246 --   247	27.173	2.218	2.754	23.878	28.493	29.724
  247 --   248	27.137	1.692	2.100	24.606	27.568	29.173
  248 --   249	26.763	1.677	2.083	24.726	26.611	29.394
  249 --   250	26.331	1.527	1.897	24.183	26.857	28.403
  250 --   251	26.643	1.006	1.249	25.727	26.500	28.540
  251 --   252	26.658	1.448	1.798	24.849	26.403	28.432
  252 --   253	26.500	1.351	1.678	24.572	27.422	27.787
  253 --   254	26.249	1.428	1.773	24.664	26.442	28.638
  254 --   255	26.282	2.414	2.997	23.803	25.555	30.910
  255 --   256	25.891	2.608	3.239	24.188	24.854	31.083
