Interval	Avg	Std	CI=0.95	Min	Median	Max
  431 --   432	7.138	4.121	2.948	0.412	6.635	13.567
  432 --   433	7.202	3.993	2.856	1.927	6.310	14.566
  433 --   434	7.575	3.708	2.653	2.671	6.907	15.599
  434 --   435	7.199	3.550	2.540	2.051	7.013	14.514
  435 --   436	7.037	3.834	2.743	1.010	6.298	13.391
  436 --   437	7.140	3.741	2.676	0.089	7.799	12.313
  437 --   438	7.068	3.300	2.361	0.000	6.865	11.558
  438 --   439	7.976	3.976	2.844	0.843	7.366	15.017
  439 --   440	8.737	3.958	2.831	2.389	9.009	15.392
  440 --   441	8.549	3.852	2.756	1.222	9.086	14.474
  441 --   442	8.057	4.149	2.968	0.341	8.587	13.472
  442 --   443	7.707	3.812	2.727	0.000	8.251	13.089
  443 --   444	7.524	3.726	2.666	0.000	8.391	13.479
  444 --   445	7.417	4.003	2.864	0.000	8.176	12.908
  445 --   446	7.826	4.032	2.884	0.916	7.428	13.579
  446 --   447	7.923	3.861	2.762	0.027	8.418	12.907
  447 --   448	7.590	3.799	2.717	0.642	7.449	12.586
  448 --   449	8.513	3.921	2.805	2.230	8.153	14.663
  449 --   450	8.453	4.063	2.906	1.356	9.302	13.385
  450 --   451	8.797	4.186	2.995	1.705	10.161	13.413
  451 --   452	9.344	3.566	2.551	2.431	10.999	12.833
  452 --   453	9.427	3.676	2.630	1.910	10.749	13.512
  453 --   454	9.445	3.092	2.212	2.520	10.344	12.786
  454 --   455	10.363	3.327	2.380	1.881	11.386	13.382
  455 --   456	10.279	3.541	2.533	1.080	11.012	14.444
  456 --   457	9.350	3.464	2.478	0.165	9.939	13.331
  457 --   458	9.343	3.087	2.209	1.224	9.598	12.613
  458 --   459	9.360	3.456	2.472	0.110	10.021	13.405
  459 --   460	9.655	3.518	2.516	0.280	9.831	13.447
  460 --   461	9.200	3.687	2.638	0.204	9.193	14.090
  461 --   462	8.896	3.678	2.631	0.862	8.661	15.387
  462 --   463	8.530	3.188	2.281	3.491	7.987	14.179
  463 --   464	8.339	3.180	2.275	3.633	8.458	13.345
  464 --   465	7.970	2.909	2.081	3.740	7.693	13.088
  465 --   466	8.180	3.669	2.625	2.659	9.258	13.116
  466 --   467	7.967	3.868	2.767	2.392	8.721	12.176
  467 --   468	7.854	4.492	3.213	1.641	9.168	13.362
  468 --   469	7.876	5.224	3.737	0.640	10.494	14.052
  469 --   470	8.050	5.660	4.049	0.000	10.775	13.997
  470 --   471	7.637	5.300	3.792	0.000	9.728	14.289
  471 --   472	7.663	4.926	3.524	0.000	9.102	13.352
  472 --   473	7.548	4.913	3.515	0.000	8.958	12.482
  473 --   474	7.343	4.254	3.043	0.303	8.292	12.513
  474 --   475	7.527	3.657	2.616	0.000	8.489	12.606
  475 --   476	7.964	3.148	2.252	0.017	9.127	11.359
  476 --   477	8.645	2.429	1.738	2.383	8.941	12.257
  477 --   478	9.073	3.200	2.289	2.330	8.609	13.966
  478 --   479	9.468	3.162	2.262	4.400	10.244	14.061
  479 --   480	9.414	3.010	2.153	5.175	9.540	14.730
  480 --   481	9.312	3.393	2.427	4.218	9.181	16.618
  481 --   482	8.796	3.869	2.768	3.052	8.622	16.732
  482 --   483	8.263	3.969	2.840	2.176	8.068	15.782
  483 --   484	8.637	3.951	2.827	1.218	10.084	14.787
  484 --   485	8.607	4.345	3.108	0.283	9.507	15.399
  485 --   486	8.320	4.529	3.240	0.000	8.892	14.661
  486 --   487	8.589	5.096	3.645	0.165	9.488	15.874
  487 --   488	8.430	5.233	3.743	0.000	9.711	16.558
  488 --   489	8.550	5.047	3.610	0.278	10.379	15.745
