Interval	Avg	CI=0.95	Limite Inferior	Limite Superior
555	29.099	3.768	25.331	32.867
556	29.080	3.893	25.187	32.973
557	29.025	4.075	24.950	33.100
558	28.818	4.129	24.689	32.947
559	28.828	4.208	24.620	33.036
560	28.830	4.279	24.551	33.109
561	28.966	4.291	24.675	33.257
562	28.981	4.374	24.607	33.355
563	28.999	4.475	24.524	33.474
564	28.962	4.540	24.422	33.502
565	29.050	4.617	24.433	33.667
566	29.063	4.681	24.382	33.744
567	28.685	4.705	23.980	33.390
568	28.375	4.747	23.628	33.122
569	28.273	4.836	23.437	33.109
570	28.094	4.882	23.212	32.976
571	27.895	4.946	22.949	32.841
572	27.807	5.025	22.782	32.832
573	28.146	5.182	22.964	33.328
574	28.246	5.348	22.898	33.594
575	28.134	5.437	22.697	33.571
576	28.462	5.572	22.890	34.034
577	28.390	5.612	22.778	34.002
578	28.584	5.753	22.831	34.337
579	28.263	5.727	22.536	33.990
580	28.232	5.842	22.390	34.074
581	28.554	5.949	22.605	34.503
582	28.637	6.094	22.543	34.731
583	28.570	6.136	22.434	34.706
584	28.579	6.251	22.328	34.830
585	28.521	6.357	22.164	34.878
586	28.285	6.423	21.862	34.708
587	28.063	6.491	21.572	34.554
588	27.672	6.468	21.204	34.140
589	27.505	6.492	21.013	33.997
590	27.529	6.635	20.894	34.164
591	27.871	6.696	21.175	34.567
592	27.945	6.705	21.240	34.650
593	28.427	6.586	21.841	35.013
594	28.852	6.473	22.379	35.325
595	28.981	6.479	22.502	35.460
596	29.115	6.531	22.584	35.646
597	28.884	6.286	22.598	35.170
598	28.822	6.266	22.556	35.088
599	28.705	5.961	22.744	34.666
600	28.522	5.910	22.612	34.432
601	28.329	5.857	22.472	34.186
602	28.324	5.440	22.884	33.764
603	28.336	5.375	22.961	33.711
604	28.431	5.420	23.011	33.851
605	28.526	5.450	23.076	33.976
606	28.944	5.148	23.796	34.092
607	28.804	5.099	23.705	33.903
608	28.490	4.987	23.503	33.477
609	28.513	4.595	23.918	33.108
610	28.425	4.488	23.937	32.913
611	28.619	4.547	24.072	33.166
612	28.674	4.089	24.585	32.763
613	29.060	3.697	25.363	32.757
614	29.422	3.326	26.096	32.748
