2018-04-06T16:54:47,618Z	7,133285
2018-04-06T16:54:48,276Z	6,510462
2018-04-06T16:54:48,613Z	6,133317
2018-04-06T16:54:49,118Z	5,633355
2018-04-06T16:54:49,365Z	5,383078
2018-04-06T16:54:49,865Z	4,883399
2018-04-06T16:54:50,116Z	4,633062
2018-04-06T16:54:50,538Z	4,252354
2018-04-06T16:54:50,871Z	3,881619
2018-04-06T16:54:51,368Z	3,382592
2018-04-06T16:54:51,866Z	2,884806
2018-04-06T16:54:52,365Z	2,385485
2018-04-06T16:54:52,619Z	2,135552
2018-04-06T16:54:53,040Z	1,757334
2018-04-06T16:54:53,372Z	1,383953
2018-04-06T16:54:53,615Z	1,13262
2018-04-06T16:54:54,117Z	0,632924
2018-04-06T16:54:54,363Z	0,38329899999999
2018-04-06T16:54:54,864Z	0
2018-04-06T16:54:55,113Z	0
2018-04-06T16:54:55,358Z	0
2018-04-06T16:54:55,364Z	0
2018-04-06T16:54:55,529Z	1,537811
2018-04-06T16:54:55,707Z	1,537811
2018-04-06T16:54:58,736Z	3,537811
2018-04-06T16:54:58,857Z	5,537811
2018-04-06T16:54:58,880Z	5,537811
2018-04-06T16:54:59,207Z	5,537811
2018-04-06T16:55:00,258Z	5,537811
2018-04-06T16:55:00,853Z	7,537811
2018-04-06T16:55:00,957Z	7,537811
2018-04-06T16:55:01,307Z	7,537811
2018-04-06T16:55:02,680Z	9,537811
2018-04-06T16:55:02,746Z	9,537811
2018-04-06T16:55:03,057Z	9,537811
2018-04-06T16:55:03,407Z	11,537811
2018-04-06T16:55:03,433Z	11,338267
2018-04-06T16:55:03,618Z	11,338267
2018-04-06T16:55:03,866Z	11,106532
2018-04-06T16:55:04,131Z	10,856118
2018-04-06T16:55:04,613Z	10,356808
2018-04-06T16:55:05,030Z	11,938764
2018-04-06T16:55:05,116Z	11,857009
2018-04-06T16:55:05,160Z	11,809546
2018-04-06T16:55:05,581Z	13,387108
2018-04-06T16:55:05,618Z	13,355028
2018-04-06T16:55:05,859Z	13,111672
2018-04-06T16:55:05,874Z	13,097839
2018-04-06T16:55:06,385Z	12,603331
2018-04-06T16:55:06,866Z	12,106855
2018-04-06T16:55:07,113Z	11,856699
2018-04-06T16:55:07,366Z	11,606398
2018-04-06T16:55:07,618Z	11,356391
2018-04-06T16:55:07,796Z	11,173106
2018-04-06T16:55:07,958Z	11,010329
2018-04-06T16:55:08,117Z	10,855974
2018-04-06T16:55:08,632Z	10,354826
2018-04-06T16:55:09,119Z	10,015178
2018-04-06T16:55:09,129Z	9,993056
2018-04-06T16:55:09,217Z	11,751087
2018-04-06T16:55:09,343Z	13,625007
2018-04-06T16:55:09,360Z	13,608811
2018-04-06T16:55:09,389Z	13,597714
2018-04-06T16:55:09,867Z	13,106562
2018-04-06T16:55:10,363Z	12,608871
2018-04-06T16:55:10,613Z	12,358719
2018-04-06T16:55:11,120Z	11,859441
2018-04-06T16:55:11,613Z	11,361575
2018-04-06T16:55:12,113Z	10,862102
2018-04-06T16:55:12,363Z	10,612137
2018-04-06T16:55:12,614Z	10,361838
2018-04-06T16:55:12,867Z	10,108683
2018-04-06T16:55:12,883Z	10,108024
2018-04-06T16:55:13,378Z	9,596497
2018-04-06T16:55:13,638Z	9,377407
2018-04-06T16:55:14,137Z	8,875763
2018-04-06T16:55:14,154Z	8,874812
2018-04-06T16:55:14,307Z	8,667558
2018-04-06T16:55:14,431Z	8,547531
2018-04-06T16:55:14,687Z	8,31801
2018-04-06T16:55:14,896Z	8,09082
2018-04-06T16:55:14,964Z	10,010935
2018-04-06T16:55:15,005Z	9,986701
2018-04-06T16:55:15,366Z	9,610516
2018-04-06T16:55:15,394Z	9,598052
2018-04-06T16:55:15,424Z	9,585247
2018-04-06T16:55:15,682Z	9,293458
2018-04-06T16:55:15,876Z	9,11361
2018-04-06T16:55:16,198Z	10,834221
2018-04-06T16:55:16,249Z	10,783473
2018-04-06T16:55:16,357Z	10,618218
2018-04-06T16:55:16,615Z	10,363753
2018-04-06T16:55:17,112Z	9,863811
2018-04-06T16:55:17,364Z	9,613361
2018-04-06T16:55:17,869Z	9,109401
2018-04-06T16:55:18,122Z	8,855146
2018-04-06T16:55:18,129Z	8,854575
2018-04-06T16:55:18,448Z	8,598711
2018-04-06T16:55:18,727Z	8,282997
2018-04-06T16:55:19,114Z	7,862667
2018-04-06T16:55:19,343Z	9,63186
2018-04-06T16:55:19,507Z	9,46724
2018-04-06T16:55:19,621Z	9,36292
2018-04-06T16:55:19,864Z	9,112917
2018-04-06T16:55:20,398Z	8,577432
2018-04-06T16:55:20,567Z	8,409239
2018-04-06T16:55:21,079Z	9,922525
2018-04-06T16:55:21,101Z	9,853711
2018-04-06T16:55:21,146Z	9,837792
2018-04-06T16:55:21,256Z	9,717055
2018-04-06T16:55:21,376Z	9,611991
2018-04-06T16:55:21,867Z	11,112209
2018-04-06T16:55:21,894Z	11,085373
2018-04-06T16:55:21,960Z	11,015803
2018-04-06T16:55:22,114Z	10,8618
2018-04-06T16:55:22,613Z	10,362056
2018-04-06T16:55:22,861Z	10,114296
2018-04-06T16:55:22,897Z	10,082591
2018-04-06T16:55:23,009Z	9,96641
2018-04-06T16:55:23,603Z	9,496645
2018-04-06T16:55:23,676Z	9,349094
2018-04-06T16:55:23,735Z	9,243413
2018-04-06T16:55:23,864Z	11,115899
2018-04-06T16:55:23,902Z	11,0762
2018-04-06T16:55:24,069Z	10,911502
2018-04-06T16:55:24,144Z	10,839895
2018-04-06T16:55:24,292Z	12,686091
2018-04-06T16:55:24,410Z	12,568465
2018-04-06T16:55:24,616Z	12,365703
2018-04-06T16:55:25,116Z	11,864922
2018-04-06T16:55:25,361Z	11,615178
2018-04-06T16:55:25,377Z	11,60889
2018-04-06T16:55:25,599Z	11,446217
2018-04-06T16:55:25,918Z	11,190869
2018-04-06T16:55:26,134Z	10,858744
2018-04-06T16:55:26,616Z	10,367343
2018-04-06T16:55:27,117Z	9,8679
2018-04-06T16:55:27,616Z	9,36823
2018-04-06T16:55:27,844Z	9,135255
2018-04-06T16:55:27,870Z	9,118256
2018-04-06T16:55:27,924Z	9,05749
2018-04-06T16:55:28,343Z	8,855818
