Interval	Avg	Std	CI=0.95	Min	Median	Max
  363 --   364	28.205	2.595	3.222	23.290	29.153	30.591
  364 --   365	28.534	2.312	2.871	24.452	29.363	30.965
  365 --   366	28.445	2.312	2.870	24.247	29.127	31.187
  366 --   367	29.328	2.493	3.096	24.974	30.062	31.968
  367 --   368	29.712	1.868	2.320	26.872	30.052	32.105
  368 --   369	29.692	1.864	2.314	27.582	29.215	32.556
  369 --   370	29.798	1.814	2.252	26.310	30.337	31.358
  370 --   371	29.566	1.480	1.838	26.737	29.951	31.054
  371 --   372	29.641	1.597	1.983	26.549	30.131	30.951
  372 --   373	29.857	1.702	2.113	27.282	30.218	32.483
  373 --   374	30.061	1.466	1.820	28.177	29.418	32.002
  374 --   375	30.076	1.154	1.433	28.165	30.189	31.534
  375 --   376	29.637	0.803	0.997	28.483	29.660	30.712
  376 --   377	29.463	1.044	1.296	27.527	30.069	30.379
  377 --   378	29.365	1.860	2.310	26.469	29.845	31.282
  378 --   379	29.669	1.639	2.035	27.159	29.556	31.948
  379 --   380	30.005	1.679	2.085	26.828	30.568	31.495
  380 --   381	29.525	1.509	1.874	27.383	29.556	31.978
  381 --   382	29.829	1.542	1.914	27.202	30.147	31.974
  382 --   383	30.072	1.233	1.531	28.155	30.217	31.963
  383 --   384	29.928	0.993	1.233	28.568	29.775	31.151
  384 --   385	29.661	1.195	1.484	27.483	30.249	30.881
  385 --   386	29.244	1.827	2.269	26.713	29.171	32.253
  386 --   387	30.124	1.844	2.290	28.175	29.562	33.640
  387 --   388	30.484	1.258	1.562	28.936	29.977	32.639
  388 --   389	30.304	0.961	1.193	29.131	29.950	31.578
  389 --   390	30.102	1.054	1.309	28.100	30.379	31.214
  390 --   391	29.193	1.250	1.552	27.208	29.370	30.886
  391 --   392	29.676	1.902	2.362	26.439	30.078	32.074
  392 --   393	29.411	1.001	1.243	28.119	29.406	30.905
  393 --   394	29.532	0.978	1.215	28.295	29.852	30.654
  394 --   395	29.982	1.520	1.887	27.184	30.706	31.273
  395 --   396	29.213	1.667	2.069	26.327	29.986	31.053
  396 --   397	28.847	2.161	2.683	24.972	29.124	31.252
  397 --   398	29.190	1.757	2.182	25.957	29.979	31.091
  398 --   399	29.556	1.410	1.750	27.073	29.707	31.164
  399 --   400	29.836	1.616	2.006	26.859	29.933	31.345
  400 --   401	29.905	1.115	1.385	27.707	30.539	30.604
  401 --   402	30.565	1.455	1.806	28.297	30.217	32.568
  402 --   403	30.249	1.756	2.181	27.209	30.535	32.658
  403 --   404	29.823	2.091	2.596	26.244	29.739	32.559
  404 --   405	29.721	1.690	2.098	26.679	30.214	31.562
  405 --   406	30.131	1.856	2.304	26.723	30.948	31.927
  406 --   407	30.299	1.281	1.591	27.800	30.761	31.397
  407 --   408	30.069	1.003	1.246	28.344	30.276	31.142
  408 --   409	30.313	1.116	1.386	28.917	30.490	31.899
  409 --   410	30.901	0.543	0.674	30.064	31.104	31.655
  410 --   411	29.784	0.563	0.699	28.964	30.019	30.507
  411 --   412	29.492	0.661	0.820	28.570	29.672	30.363
  412 --   413	29.323	0.744	0.924	28.084	29.522	30.189
  413 --   414	28.885	1.205	1.496	26.802	28.936	30.438
  414 --   415	29.313	1.710	2.123	26.771	29.096	32.140
  415 --   416	29.458	1.421	1.765	27.061	29.427	31.195
  416 --   417	29.525	1.792	2.225	26.072	30.159	31.050
  417 --   418	29.644	2.382	2.958	24.915	30.700	31.340
  418 --   419	29.876	3.082	3.827	23.876	30.996	32.309
  419 --   420	30.371	2.651	3.291	25.163	31.548	32.525
  420 --   421	29.824	2.397	2.976	25.065	30.977	31.500
  421 --   422	30.717	1.853	2.301	27.073	31.264	32.013
  422 --   423	29.815	2.006	2.491	25.871	30.808	31.351
  423 --   424	30.367	1.483	1.841	27.760	30.400	32.266
  424 --   425	31.148	0.530	0.658	30.310	31.207	31.972
  425 --   426	31.131	1.250	1.553	29.188	30.982	32.895
  426 --   427	31.081	0.929	1.153	29.291	31.482	31.894
  427 --   428	30.869	1.397	1.735	29.326	30.558	33.496
  428 --   429	30.525	1.936	2.404	28.200	30.082	33.982
  429 --   430	30.509	1.592	1.977	28.857	30.269	33.009
  430 --   431	29.902	1.573	1.954	28.046	30.495	31.963
  431 --   432	30.087	1.486	1.845	28.156	30.956	31.480
  432 --   433	29.860	1.204	1.495	28.447	30.002	31.464
  433 --   434	29.939	1.211	1.504	28.880	29.337	32.038
  434 --   435	30.380	0.905	1.124	29.165	30.497	31.545
  435 --   436	30.487	1.142	1.418	28.858	30.813	31.766
  436 --   437	30.321	1.673	2.077	27.771	30.875	32.396
  437 --   438	30.009	0.976	1.212	28.806	30.125	31.326
  438 --   439	29.745	0.874	1.085	28.842	29.450	30.922
  439 --   440	29.932	0.803	0.997	28.925	29.642	31.158
  440 --   441	29.028	0.988	1.226	27.872	28.738	30.355
  441 --   442	29.176	1.891	2.348	27.075	28.608	32.695
  442 --   443	28.699	1.596	1.982	26.333	28.747	31.342
  443 --   444	28.789	1.857	2.305	26.003	30.121	30.367
  444 --   445	28.685	1.794	2.228	26.284	29.006	31.186
  445 --   446	28.293	1.516	1.883	26.085	28.717	30.451
  446 --   447	28.884	2.014	2.501	25.237	29.849	30.661
  447 --   448	28.910	2.561	3.180	24.169	30.273	30.952
  448 --   449	29.728	2.337	2.902	25.282	30.980	31.495
  449 --   450	29.388	2.714	3.370	24.255	30.040	32.118
  450 --   451	29.409	2.506	3.112	24.889	29.989	32.560
  451 --   452	29.334	2.787	3.460	24.296	30.094	32.653
  452 --   453	29.349	2.399	2.978	24.793	30.146	31.475
  453 --   454	28.627	2.178	2.704	24.453	29.293	30.557
  454 --   455	28.985	2.911	3.614	23.642	30.358	31.506
  455 --   456	28.836	2.463	3.058	24.298	29.287	31.698
  456 --   457	29.210	2.797	3.472	23.702	30.188	31.445
  457 --   458	28.879	3.163	3.927	22.780	30.509	31.442
  458 --   459	29.168	3.598	4.467	22.310	29.824	32.609
  459 --   460	29.269	3.310	4.110	22.800	30.534	31.966
