Interval	Avg	Std	CI=0.95	Min	Median	Max
  352 --   353	26.075	3.407	3.576	22.334	24.603	31.470
  353 --   354	26.177	3.032	3.182	22.407	26.235	30.085
  354 --   355	26.368	3.389	3.557	21.290	25.763	31.279
  355 --   356	26.342	3.443	3.613	20.103	26.332	31.409
  356 --   357	26.867	3.779	3.965	19.589	28.112	31.183
  357 --   358	26.290	3.593	3.770	19.611	27.556	30.036
  358 --   359	26.843	3.437	3.607	21.940	27.671	30.696
  359 --   360	26.629	3.775	3.962	21.853	27.107	31.270
  360 --   361	26.083	3.305	3.469	22.030	26.130	30.674
  361 --   362	26.089	3.160	3.317	22.318	25.318	31.110
  362 --   363	25.626	3.473	3.644	21.104	25.329	30.141
  363 --   364	25.274	3.183	3.340	20.254	25.104	29.767
  364 --   365	26.258	3.648	3.829	19.895	26.787	30.340
  365 --   366	26.224	3.058	3.209	20.209	26.823	29.374
  366 --   367	26.122	2.734	2.869	21.617	26.255	29.555
  367 --   368	26.074	2.520	2.645	22.573	26.473	29.476
  368 --   369	25.924	2.161	2.268	22.279	26.594	28.284
  369 --   370	26.098	2.447	2.568	21.532	26.758	29.331
  370 --   371	25.861	2.861	3.003	20.523	27.205	28.343
  371 --   372	26.274	3.484	3.657	19.360	27.580	29.673
  372 --   373	26.503	3.867	4.058	18.528	28.419	29.419
  373 --   374	26.327	4.326	4.540	17.448	28.224	29.955
  374 --   375	26.387	4.872	5.113	16.247	27.367	32.119
  375 --   376	26.357	5.017	5.265	15.440	27.845	30.956
  376 --   377	26.433	5.133	5.387	15.736	27.598	32.624
  377 --   378	26.554	5.262	5.522	15.891	27.357	33.267
  378 --   379	26.201	4.832	5.071	16.430	27.080	31.900
  379 --   380	25.241	4.755	4.990	15.637	26.150	30.892
  380 --   381	24.497	4.665	4.896	14.976	25.804	29.776
  381 --   382	25.190	3.924	4.118	17.076	26.150	29.920
  382 --   383	24.910	4.097	4.300	16.498	25.694	30.044
  383 --   384	24.928	3.412	3.581	18.087	25.422	29.013
  384 --   385	24.985	3.529	3.703	18.429	25.520	29.513
  385 --   386	24.957	4.013	4.211	17.385	26.125	28.821
  386 --   387	24.861	4.355	4.571	16.431	26.421	29.147
  387 --   388	24.761	4.796	5.033	15.416	26.166	29.988
  388 --   389	24.760	5.077	5.328	14.323	25.948	29.915
  389 --   390	25.499	5.441	5.710	14.719	27.317	31.040
  390 --   391	25.751	4.982	5.229	16.494	28.077	30.964
  391 --   392	25.741	4.731	4.964	17.376	27.397	31.055
  392 --   393	25.342	4.158	4.363	17.516	26.706	29.948
  393 --   394	25.399	4.398	4.615	17.385	26.033	31.147
  394 --   395	25.228	4.860	5.100	16.249	25.264	30.616
  395 --   396	25.497	5.026	5.274	15.509	25.875	31.039
  396 --   397	25.721	4.417	4.636	16.541	26.332	30.339
  397 --   398	25.978	4.204	4.412	17.515	27.130	31.164
  398 --   399	25.676	4.545	4.769	16.300	26.767	31.228
  399 --   400	25.222	4.758	4.993	15.417	26.294	31.062
  400 --   401	24.755	4.182	4.389	16.015	25.703	29.685
  401 --   402	25.387	4.068	4.270	16.964	26.558	29.410
  402 --   403	25.537	4.096	4.299	17.648	26.599	29.962
  403 --   404	25.564	4.412	4.631	17.551	26.335	30.039
  404 --   405	25.634	4.858	5.098	16.467	26.817	30.601
  405 --   406	25.679	4.708	4.940	16.923	26.851	30.840
  406 --   407	24.979	4.619	4.847	16.460	25.803	30.430
  407 --   408	25.102	4.594	4.821	16.762	25.609	30.963
  408 --   409	25.913	3.705	3.888	20.035	25.674	31.996
  409 --   410	25.878	3.844	4.034	18.361	26.735	31.016
  410 --   411	26.086	2.796	2.935	20.799	26.363	29.852
  411 --   412	26.273	3.158	3.315	21.662	25.837	30.920
  412 --   413	25.492	2.851	2.992	21.871	24.824	29.817
  413 --   414	26.068	2.689	2.822	23.294	25.153	31.378
  414 --   415	26.036	3.105	3.259	22.544	25.920	32.148
  415 --   416	25.940	2.577	2.705	22.556	25.250	30.912
  416 --   417	25.945	2.418	2.538	22.550	26.024	30.256
