Interval	Avg	Std	CI=0.95	Min	Median	Max
  234 --   235	24.736	7.193	8.931	10.679	27.654	30.141
  235 --   236	24.465	7.368	9.149	10.285	27.130	30.123
  236 --   237	24.687	6.210	7.711	13.156	25.460	30.132
  237 --   238	24.855	6.605	8.201	12.616	25.490	31.297
  238 --   239	25.005	7.027	8.725	11.855	28.315	31.798
  239 --   240	25.222	6.082	7.552	14.403	27.834	31.781
  240 --   241	24.666	5.526	6.861	15.472	26.827	31.521
  241 --   242	24.827	6.001	7.451	14.139	26.339	31.482
  242 --   243	25.237	6.211	7.712	13.322	27.039	31.530
  243 --   244	25.903	5.121	6.359	16.110	27.328	30.909
  244 --   245	27.233	5.406	6.712	17.289	28.735	32.629
  245 --   246	26.558	5.773	7.168	16.022	28.166	31.800
  246 --   247	25.911	5.978	7.422	15.250	27.335	31.865
  247 --   248	25.497	6.253	7.764	14.255	27.858	31.794
  248 --   249	24.941	6.541	8.121	13.269	28.962	31.062
  249 --   250	24.575	5.960	7.400	13.762	27.958	29.778
  250 --   251	24.960	5.020	6.233	15.786	26.809	29.292
  251 --   252	24.946	5.190	6.444	16.361	25.928	30.327
  252 --   253	24.532	5.308	6.590	15.979	25.170	30.661
  253 --   254	24.994	4.581	5.688	18.005	25.174	29.893
  254 --   255	25.676	4.107	5.100	20.438	26.811	30.313
  255 --   256	26.636	4.591	5.701	19.181	29.579	30.982
  256 --   257	27.274	3.144	3.904	21.520	29.002	30.235
  257 --   258	26.883	3.224	4.003	21.116	27.955	30.786
  258 --   259	26.298	2.983	3.704	20.974	27.126	30.131
  259 --   260	26.293	3.085	3.831	21.120	26.127	30.654
  260 --   261	26.086	3.526	4.378	19.960	26.763	30.798
  261 --   262	25.687	3.831	4.757	19.235	26.179	31.275
  262 --   263	25.846	3.480	4.321	20.663	25.262	31.546
  263 --   264	26.012	3.613	4.486	20.541	25.571	31.538
  264 --   265	26.758	2.955	3.669	22.807	25.445	30.716
  265 --   266	26.683	3.736	4.638	21.967	24.750	31.456
  266 --   267	26.854	3.806	4.726	21.261	25.591	31.271
  267 --   268	26.575	3.768	4.678	21.570	24.994	31.769
  268 --   269	26.163	3.377	4.193	21.292	26.718	30.468
  269 --   270	26.981	3.933	4.884	22.351	26.349	31.655
  270 --   271	26.452	4.451	5.526	21.487	25.511	32.550
  271 --   272	25.628	4.394	5.456	20.490	25.214	31.797
  272 --   273	25.638	4.792	5.950	19.698	26.670	30.730
  273 --   274	25.207	5.211	6.471	18.954	26.322	31.467
  274 --   275	25.058	5.105	6.339	18.409	25.725	30.950
  275 --   276	25.114	5.682	7.055	17.403	27.506	31.521
  276 --   277	25.370	5.989	7.436	17.860	28.207	31.879
  277 --   278	25.362	5.648	7.012	17.280	28.482	31.161
  278 --   279	24.715	5.455	6.774	16.338	27.648	30.461
  279 --   280	24.480	5.763	7.156	15.301	28.050	29.750
  280 --   281	24.097	5.976	7.421	14.389	27.968	29.705
  281 --   282	23.983	6.208	7.708	13.501	28.581	28.925
  282 --   283	24.417	5.942	7.378	14.719	27.398	30.244
  283 --   284	24.317	5.561	6.905	16.100	26.468	30.529
  284 --   285	24.910	5.620	6.978	16.575	25.397	31.610
  285 --   286	24.702	5.856	7.271	15.634	25.119	32.386
  286 --   287	25.019	5.728	7.112	15.787	25.587	31.577
  287 --   288	24.556	5.873	7.292	15.430	24.474	32.058
  288 --   289	23.899	6.205	7.704	13.955	25.372	31.759
  289 --   290	23.763	5.572	6.918	15.329	26.482	30.459
  290 --   291	24.182	5.528	6.864	15.318	25.756	31.886
  291 --   292	25.292	5.328	6.616	15.922	27.310	31.934
  292 --   293	25.508	5.332	6.620	16.562	27.486	32.044
  293 --   294	26.042	4.445	5.520	20.249	26.576	31.138
  294 --   295	26.621	3.272	4.063	22.824	27.181	30.392
  295 --   296	27.501	3.692	4.585	21.382	28.619	31.293
  296 --   297	28.413	3.991	4.956	22.713	29.446	34.323
  297 --   298	28.109	3.192	3.964	24.622	28.522	33.357
  298 --   299	28.013	2.936	3.646	24.931	27.588	32.421
  299 --   300	27.788	2.918	3.623	24.366	26.568	31.948
  300 --   301	27.680	3.268	4.058	23.526	26.575	32.158
  301 --   302	28.037	3.248	4.033	24.076	27.760	33.013
  302 --   303	27.297	2.877	3.572	23.442	26.957	31.892
  303 --   304	27.668	2.124	2.638	24.697	27.077	30.763
  304 --   305	27.859	2.641	3.280	24.644	27.880	31.948
  305 --   306	28.857	2.731	3.391	24.446	30.078	31.661
  306 --   307	28.670	2.857	3.547	23.480	28.959	31.940
  307 --   308	28.386	3.144	3.903	22.650	29.184	31.466
  308 --   309	27.787	3.525	4.377	21.615	28.913	32.072
  309 --   310	27.498	3.474	4.313	22.107	27.953	32.635
  310 --   311	27.099	3.389	4.208	22.784	26.889	32.819
  311 --   312	26.889	3.130	3.886	23.828	26.283	32.644
  312 --   313	26.816	3.220	3.998	23.318	26.991	31.789
  313 --   314	26.720	3.033	3.765	22.406	27.540	30.620
  314 --   315	26.006	2.584	3.208	22.870	26.773	29.269
  315 --   316	25.916	2.805	3.483	22.298	25.904	30.561
  316 --   317	25.174	2.762	3.430	21.186	24.875	29.694
  317 --   318	25.233	3.288	4.083	20.087	24.988	29.919
  318 --   319	24.792	3.666	4.552	19.135	25.868	30.196
  319 --   320	25.858	4.866	6.041	18.074	27.850	32.228
  320 --   321	26.219	5.060	6.283	18.572	27.746	33.054
  321 --   322	27.006	4.638	5.759	19.781	27.622	32.009
  322 --   323	27.399	4.874	6.052	21.169	27.613	33.106
  323 --   324	26.944	5.083	6.311	20.257	28.082	32.573
  324 --   325	26.423	4.512	5.602	20.956	27.415	31.514
  325 --   326	26.406	4.986	6.192	20.169	30.225	30.733
  326 --   327	25.864	4.824	5.989	19.049	29.175	30.367
  327 --   328	26.021	5.142	6.384	18.738	29.691	30.789
  328 --   329	26.548	4.730	5.874	20.703	29.401	31.918
  329 --   330	26.144	4.795	5.954	19.887	28.532	32.010
  330 --   331	25.750	4.730	5.873	18.884	27.635	30.927
  331 --   332	25.225	4.992	6.198	17.852	26.744	30.595
  332 --   333	25.092	5.582	6.931	16.975	27.435	30.763
  333 --   334	25.245	6.313	7.839	16.243	28.435	32.022
  334 --   335	25.427	5.335	6.624	17.055	28.615	31.008
  335 --   336	25.811	5.344	6.635	16.352	29.033	30.671
  336 --   337	25.895	5.021	6.234	17.960	27.620	31.129
  337 --   338	26.320	5.387	6.688	17.851	28.861	32.058
  338 --   339	25.840	5.359	6.654	16.931	28.297	30.917
  339 --   340	25.796	5.211	6.471	17.347	28.454	30.818
  340 --   341	26.317	5.301	6.582	17.669	28.328	31.738
  341 --   342	26.086	5.019	6.231	17.992	29.184	31.286
  342 --   343	26.541	4.852	6.024	19.116	28.987	32.658
  343 --   344	25.963	4.506	5.595	19.863	28.046	31.992
  344 --   345	25.858	4.427	5.497	18.724	28.204	30.816
  345 --   346	25.501	4.828	5.995	17.818	28.095	30.156
  346 --   347	24.777	5.139	6.380	16.715	27.636	29.704
  347 --   348	25.250	5.019	6.232	15.886	28.076	29.598
  348 --   349	25.146	4.828	5.995	16.194	27.006	30.338
  349 --   350	25.569	5.551	6.893	16.131	26.058	33.552
  350 --   351	25.721	4.861	6.035	17.556	26.620	32.607
  351 --   352	25.513	4.709	5.847	17.955	25.974	32.247
  352 --   353	24.982	5.246	6.514	16.793	24.799	32.692
  353 --   354	24.124	5.315	6.600	15.878	23.900	31.859
  354 --   355	23.696	5.556	6.898	14.886	23.312	30.619
  355 --   356	23.782	6.120	7.599	13.650	23.900	31.125
  356 --   357	23.363	6.192	7.689	12.725	23.194	30.973
  357 --   358	22.724	6.017	7.471	11.977	23.194	29.727
  358 --   359	22.306	6.251	7.762	11.022	24.541	29.375
  359 --   360	23.111	6.762	8.396	11.521	24.740	31.662
  360 --   361	23.844	7.324	9.094	10.893	25.623	32.248
  361 --   362	23.438	7.360	9.138	10.050	25.414	31.239
  362 --   363	23.691	6.824	8.474	11.360	25.906	31.522
  363 --   364	24.468	6.182	7.676	13.029	26.582	31.309
  364 --   365	25.215	5.597	6.949	14.335	26.915	30.299
  365 --   366	25.255	6.213	7.714	13.383	26.756	31.060
  366 --   367	24.738	6.741	8.370	12.048	26.051	31.232
  367 --   368	25.704	5.580	6.929	16.088	27.369	32.823
  368 --   369	25.422	5.466	6.787	16.138	26.957	31.787
  369 --   370	24.822	5.534	6.871	15.153	27.205	30.686
  370 --   371	24.807	6.046	7.507	14.010	26.178	30.552
  371 --   372	25.302	6.390	7.934	14.062	25.359	31.983
  372 --   373	25.288	5.705	7.083	15.340	25.105	31.140
  373 --   374	24.807	5.638	7.001	14.946	25.517	30.785
  374 --   375	24.567	6.078	7.546	13.763	27.751	30.498
  375 --   376	25.686	7.124	8.845	13.986	29.807	33.248
  376 --   377	25.675	6.857	8.514	15.222	28.779	33.304
  377 --   378	25.478	6.785	8.424	15.945	27.780	32.366
  378 --   379	25.139	7.223	8.968	14.876	29.048	32.220
  379 --   380	24.991	7.143	8.869	15.469	29.980	32.109
  380 --   381	24.269	7.153	8.882	15.029	29.029	31.713
  381 --   382	24.230	6.942	8.620	15.074	28.085	30.789
  382 --   383	24.120	7.181	8.916	14.069	27.023	31.487
  383 --   384	23.841	7.873	9.776	13.199	26.429	32.482
  384 --   385	23.892	8.068	10.018	12.324	28.865	31.567
  385 --   386	24.239	8.786	10.909	11.241	29.828	32.858
  386 --   387	24.169	9.009	11.186	10.240	29.867	33.324
  387 --   388	24.195	9.699	12.043	9.324	31.323	33.073
  388 --   389	24.010	9.741	12.095	8.322	31.194	31.973
  389 --   390	23.530	9.554	11.863	7.323	29.724	31.904
  390 --   391	22.950	9.632	11.959	6.198	29.541	31.029
  391 --   392	22.618	9.943	12.346	5.196	28.739	31.153
  392 --   393	22.053	10.138	12.588	4.244	28.092	30.947
  393 --   394	21.850	10.776	13.381	3.198	28.402	31.585
  394 --   395	21.673	11.536	14.323	2.074	29.093	32.629
  395 --   396	22.206	11.615	14.421	1.240	28.808	32.712
  396 --   397	21.930	11.741	14.579	0.324	29.106	32.367
  397 --   398	22.509	11.314	14.049	1.854	29.750	31.380
  398 --   399	23.092	10.650	13.223	4.000	30.620	31.399
  399 --   400	23.814	9.233	11.465	6.933	29.434	32.031
  400 --   401	23.883	7.984	9.913	10.000	28.893	31.030
  401 --   402	23.822	7.449	9.249	11.550	27.701	30.836
  402 --   403	23.901	7.386	9.171	12.591	26.690	31.632
  403 --   404	23.235	7.625	9.467	11.793	25.802	31.623
  404 --   405	23.004	8.035	9.977	9.651	26.442	30.459
  405 --   406	23.850	8.353	10.371	9.770	28.721	31.315
  406 --   407	24.726	8.431	10.468	9.995	29.739	31.825
  407 --   408	25.460	8.298	10.303	10.289	28.951	32.826
  408 --   409	24.590	7.915	9.828	10.260	28.074	31.835
  409 --   410	24.422	8.240	10.231	9.341	28.051	31.421
  410 --   411	25.453	8.754	10.870	8.552	30.544	31.817
  411 --   412	24.912	9.000	11.175	7.444	30.083	31.075
  412 --   413	24.696	9.561	11.871	6.396	29.807	32.179
  413 --   414	24.319	8.896	11.046	7.563	28.845	32.231
  414 --   415	24.305	8.178	10.154	8.503	28.348	30.799
  415 --   416	24.379	8.388	10.415	8.647	28.173	31.597
  416 --   417	25.323	8.440	10.480	8.969	30.135	31.204
