Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
231.000000 0.001153 0.011156 0.008573 0.005646 0.007541 0.001283 0.004860 0.015486 0.010794 0.011167 0.077659
232.000000 0.001315 0.012370 0.008522 0.005216 0.006896 0.001339 0.004916 0.014148 0.009879 0.010359 0.074960
233.000000 0.001194 0.010139 0.008285 0.004981 0.007244 0.001163 0.005186 0.019389 0.014646 0.015442 0.087669
234.000000 0.001279 0.011309 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.046259 0.036556 0.095403
235.000000 0.001459 0.009148 0.012229 0.018883 0.009202 0.001306 0.011752 0.047266 0.008895 0.006129 0.126269
236.000000 0.001216 0.008265 0.010965 0.006449 0.007666 0.001227 0.005320 0.014605 0.010788 0.016078 0.082579
237.000000 0.001552 0.007181 0.009676 0.009285 0.007898 0.001772 0.008314 0.015295 0.012076 0.017607 0.090656
238.000000 0.001702 0.006619 0.009305 0.008090 0.007286 0.001677 0.006759 0.015538 0.012054 0.017921 0.086951
239.000000 0.001651 0.017415 0.009709 0.009044 0.005550 0.001467 0.007394 0.015267 0.010982 0.015265 0.093744
240.000000 0.001838 0.006731 0.007748 0.009954 0.004033 0.001508 0.011518 0.000000 0.058639 0.028052 0.130021
241.000000 0.001767 0.010744 0.012232 0.013321 0.011429 0.001408 0.012874 0.028573 0.015783 0.028975 0.137106
242.000000 0.000891 0.007230 0.006994 0.007824 0.005615 0.001039 0.008293 0.010810 0.010843 0.014849 0.074388
243.000000 0.000990 0.005512 0.008220 0.007849 0.006830 0.001231 0.008223 0.011093 0.012469 0.019722 0.082139
244.000000 0.001170 0.005214 0.008243 0.007574 0.006781 0.001461 0.006956 0.010954 0.011304 0.019011 0.078668
245.000000 0.001010 0.004976 0.007199 0.008320 0.005414 0.001157 0.008323 0.011510 0.011919 0.020322 0.080150
246.000000 0.001320 0.005309 0.006664 0.008180 0.005254 0.001016 0.007600 0.067956 0.010889 0.015835 0.130023
247.000000 0.001258 0.004887 0.005762 0.007850 0.006235 0.000986 0.008480 0.012069 0.046990 0.050128 0.144645
248.000000 0.001197 0.004850 0.005967 0.008114 0.005476 0.001436 0.006836 0.009876 0.011263 0.015485 0.070500
249.000000 0.001087 0.005635 0.005466 0.007296 0.005169 0.001293 0.006951 0.011314 0.009640 0.014206 0.068057
250.000000 0.001256 0.005657 0.006851 0.007169 0.005212 0.001273 0.007523 0.008916 0.009345 0.012677 0.065879
251.000000 0.001139 0.005732 0.005181 0.006436 0.006150 0.001327 0.007836 0.008602 0.009784 0.011502 0.063689
252.000000 0.001123 0.005898 0.007755 0.005460 0.006943 0.001516 0.008537 0.009980 0.011692 0.015020 0.073924
253.000000 0.001690 0.033534 0.036641 0.034009 0.028412 0.003078 0.031965 0.045239 0.016596 0.029586 0.260750
254.000000 0.001346 0.008353 0.009155 0.008691 0.008039 0.001249 0.008045 0.023883 0.009701 0.037754 0.116216
255.000000 0.001345 0.005556 0.008622 0.007689 0.006962 0.001239 0.007858 0.010171 0.009412 0.011429 0.070283
256.000000 0.001446 0.006959 0.008265 0.008891 0.008363 0.001542 0.007273 0.009750 0.009819 0.012147 0.074455
257.000000 0.001381 0.004920 0.009378 0.009451 0.009388 0.001457 0.007377 0.009452 0.010876 0.012499 0.076179
