Time 1-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 5-10.0.0.4-10.0.0.2 1-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 Aggregate-Flow
104.000000 1.246713 3.007345 7.224111 16.859544 7.028979 1.094003 10.110720 6.024555 9.094506 6.236474 6.010802 1.927931 5.387477 5.534267 7.128338 93.915765
105.000000 1.086787 3.126496 7.656963 15.235839 6.194228 1.085790 10.835493 6.172946 8.999835 6.397061 5.663764 1.762474 5.790059 5.673731 7.421145 93.102611
106.000000 1.110170 3.349519 8.100053 11.435138 6.710493 1.112329 11.510152 6.672357 7.539048 6.659777 6.095147 1.642142 6.115484 5.879237 7.705421 91.636467
107.000000 1.182728 3.492959 8.682475 12.170728 7.303770 1.186938 12.099354 7.171101 8.089614 7.044843 6.495099 1.550850 6.575843 6.080373 7.925361 97.052036
108.000000 1.270302 3.804424 9.259404 12.794818 7.815255 1.273432 9.415842 7.405588 8.475476 7.391936 6.861392 1.352195 6.921389 6.310744 8.258591 98.610788
109.000000 2.551386 0.000000 10.599757 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.650344 22.801487
110.000000 2.382098 4.996094 0.000000 14.409549 10.104109 3.035126 10.970758 8.926704 0.000000 8.889566 8.267448 2.558061 8.449709 0.000000 0.000000 82.989222
111.000000 3.344812 6.031110 12.587136 15.452507 10.107795 2.972006 11.929813 9.645059 11.376887 9.566079 8.969096 2.941607 8.951577 8.778666 10.606795 133.260945
112.000000 2.428065 5.556606 11.683317 11.755882 9.983813 2.216218 11.720551 9.249051 10.644589 9.092384 8.655579 1.647627 8.692064 7.659544 10.044909 121.030199
113.000000 1.879674 5.995381 11.637699 12.066998 10.616146 2.097489 12.943494 9.596343 11.282841 9.055647 8.584170 1.536140 9.370808 8.363459 9.752168 124.778457
114.000000 2.405703 5.771917 11.786192 12.925972 11.154191 2.136724 13.224595 9.999660 10.028493 7.438022 7.783360 0.923486 9.772372 8.413184 10.570709 124.334580
115.000000 2.562546 5.596492 8.679899 13.632600 11.641384 1.996929 11.806349 7.410935 8.120891 3.296560 6.322120 0.814081 10.106356 8.872061 10.922330 111.781533
116.000000 2.743839 5.614535 9.235961 14.363659 12.111264 1.889258 8.655916 7.018832 8.614905 3.321781 6.894984 0.858013 10.450209 9.350912 11.416889 112.540957
117.000000 3.041088 3.922191 9.834011 15.107077 10.642443 1.981327 9.263677 7.471591 9.073446 3.392272 7.480662 0.877962 6.445513 9.843038 11.978308 110.354606
118.000000 3.450368 3.716006 10.473470 11.764483 6.949481 1.945772 9.808626 7.449466 9.628570 3.599246 7.981119 0.895833 6.325969 10.460018 12.530482 106.978909
119.000000 3.847967 3.849273 11.063851 9.096142 7.419961 1.839215 10.417056 6.618932 9.801731 3.746983 7.486463 0.909336 6.680350 11.007795 13.022171 106.807226
120.000000 4.054494 4.088650 11.651831 9.768251 7.924661 1.646171 11.074021 6.946928 6.748445 3.818197 7.900370 0.961136 6.980335 11.450370 13.521281 108.535141
121.000000 4.249563 4.236960 12.052068 10.434138 8.391733 1.414665 7.782208 7.251339 7.241969 4.011336 8.334169 1.050147 7.157504 10.195567 14.030043 107.833409
122.000000 4.310329 4.409695 9.542709 11.096520 8.710193 1.227739 7.924765 7.625673 7.704308 4.165062 8.920948 1.191648 7.334584 8.657199 14.638466 107.459838
123.000000 4.352357 4.760960 9.930336 11.638899 9.089200 1.360905 8.539948 8.053595 8.086597 4.601719 9.629905 1.372984 7.498827 8.851919 15.023866 112.792017
124.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
125.000000 0.000000 6.356406 0.000000 13.375110 10.865570 2.709600 10.210090 9.633916 9.705817 0.000000 11.343602 2.650490 9.012285 10.700957 16.680902 113.244745
126.000000 0.000000 0.000000 12.678395 14.660952 11.885657 0.000000 10.326102 10.451426 10.603921 6.892334 0.000000 2.528891 9.807745 11.640100 17.615678 119.091201
127.000000 6.914795 7.656570 12.849802 0.000000 12.295372 2.933691 11.241068 10.237738 10.400620 6.603045 12.582276 3.165411 8.996327 0.000000 12.907847 118.784562
128.000000 6.170531 7.823002 13.800066 15.919607 10.625861 2.259736 11.626788 7.402154 8.675352 6.625334 11.945090 3.016703 7.929672 12.196200 13.216840 139.232936
