Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
66.000000 0.000977 0.009358 0.009269 0.011099 0.010865 0.001065 0.008174 0.019292 0.008434 0.009149 0.000795 0.003658 0.004165 0.005270 0.003769 0.105339
67.000000 0.001082 0.011644 0.008811 0.012329 0.010139 0.001023 0.038062 0.008698 0.009461 0.009624 0.000400 0.001905 0.001542 0.002990 0.001425 0.119135
68.000000 0.000936 0.011286 0.009985 0.020706 0.010245 0.000880 0.009444 0.008553 0.009555 0.021065 0.000612 0.002650 0.002380 0.004329 0.002120 0.114746
69.000000 0.001216 0.010354 0.008871 0.009798 0.011525 0.001134 0.009399 0.009755 0.009003 0.011288 0.000310 0.000685 0.000435 0.002689 0.000525 0.086987
70.000000 0.000995 0.045935 0.009261 0.010695 0.009274 0.000961 0.009346 0.009027 0.009716 0.010828 0.000759 0.002893 0.003576 0.005368 0.003640 0.132274
71.000000 0.001122 0.010275 0.009006 0.009178 0.010367 0.001114 0.008732 0.008586 0.009789 0.010966 0.000306 0.000804 0.000412 0.002962 0.000592 0.084211
72.000000 0.001022 0.011862 0.008935 0.009204 0.011820 0.001129 0.008192 0.009076 0.009351 0.011468 0.000413 0.001843 0.001621 0.003237 0.001632 0.090805
73.000000 0.001027 0.008630 0.009274 0.009857 0.008850 0.001092 0.008756 0.008542 0.008440 0.009090 0.000974 0.005568 0.005745 0.005449 0.006218 0.097512
74.000000 0.001257 0.011329 0.008738 0.005394 0.011012 0.001221 0.008960 0.008285 0.010402 0.010957 0.000478 0.001683 0.002063 0.004290 0.001231 0.087300
75.000000 0.001345 0.013329 0.010518 0.008956 0.011185 0.001412 0.010648 0.011069 0.013779 0.013831 0.000540 0.001813 0.003100 0.005282 0.001835 0.108642
76.000000 0.001093 0.009584 0.007367 0.132243 0.009481 0.001192 0.007518 0.013215 0.006803 0.007653 0.000599 0.002359 0.002514 0.003837 0.002174 0.207632
77.000000 0.001693 0.017206 0.014339 0.000000 0.014615 0.001559 0.017038 0.013675 0.022944 0.026708 0.000546 0.001361 0.001418 0.004043 0.001766 0.138911
78.000000 0.001159 0.011239 0.008984 0.065928 0.011074 0.001033 0.014790 0.011118 0.012354 0.009641 0.000682 0.002186 0.002893 0.003491 0.002481 0.159053
79.000000 0.001202 0.022057 0.013559 0.013326 0.022136 0.001195 0.010815 0.011349 0.013353 0.000000 0.000335 0.000560 0.000605 0.002914 0.000637 0.114043
80.000000 0.001078 0.010128 0.009181 0.007904 0.008233 0.000863 0.009170 0.008006 0.010105 0.011601 0.000818 0.004106 0.004691 0.004941 0.003841 0.094666
81.000000 0.000990 0.009917 0.008216 0.005661 0.009730 0.001153 0.008180 0.009003 0.008713 0.009461 0.000341 0.000699 0.000688 0.002976 0.000667 0.076395
