Interval	Avg	Std	CI=0.95	Min	Median	Max
  169 --   170	15.491	5.128	6.368	12.134	13.276	25.710
  170 --   171	14.993	5.249	6.518	11.592	12.385	25.433
  171 --   172	14.986	4.838	6.007	12.134	12.385	24.603
  172 --   173	14.939	4.561	5.663	12.278	12.385	24.005
  173 --   174	15.331	4.612	5.726	12.258	13.428	24.450
  174 --   175	15.391	4.911	6.097	11.950	13.395	25.093
  175 --   176	15.290	4.982	6.186	11.480	13.360	25.093
  176 --   177	15.341	4.989	6.195	11.455	13.092	25.093
  177 --   178	15.260	5.049	6.269	11.112	13.032	25.093
  178 --   179	15.100	5.133	6.374	10.806	12.710	25.093
  179 --   180	14.966	5.458	6.777	10.806	12.600	25.760
  180 --   181	15.104	6.050	7.512	10.806	12.600	27.093
  181 --   182	15.331	6.910	8.580	10.806	12.417	29.093
  182 --   183	15.255	6.949	8.628	10.806	12.336	29.093
  183 --   184	15.659	6.815	8.462	11.181	12.047	29.070
  184 --   185	15.940	6.661	8.271	11.179	12.806	29.070
  185 --   186	16.025	6.607	8.203	11.082	13.389	29.023
  186 --   187	16.112	6.464	8.026	10.831	14.155	28.720
  187 --   188	15.683	6.424	7.977	10.772	12.524	28.264
  188 --   189	16.038	6.176	7.668	10.487	14.047	27.959
  189 --   190	16.119	6.034	7.492	10.448	14.047	27.556
  190 --   191	16.003	6.107	7.583	9.931	14.213	27.306
  191 --   192	15.913	6.060	7.525	8.993	16.047	26.526
  192 --   193	16.130	6.150	7.636	8.903	16.542	26.131
  193 --   194	16.301	6.406	7.954	8.534	18.025	26.111
  194 --   195	16.036	6.155	7.643	8.534	17.801	25.200
  195 --   196	16.007	6.118	7.597	8.534	17.789	25.082
  196 --   197	15.798	6.189	7.685	8.534	16.325	25.747
  197 --   198	16.319	5.954	7.392	8.534	17.679	25.747
  198 --   199	16.324	5.893	7.318	8.534	17.664	25.747
  199 --   200	16.046	6.038	7.497	8.534	15.940	26.330
  200 --   201	15.558	6.286	7.805	8.511	15.741	26.664
  201 --   202	15.778	6.053	7.516	10.175	15.552	26.914
  202 --   203	15.755	5.970	7.413	10.479	15.333	26.914
  203 --   204	15.842	6.194	7.690	10.359	15.291	27.414
  204 --   205	16.280	6.901	8.569	9.715	14.834	28.914
  205 --   206	16.102	7.075	8.785	8.868	14.834	28.914
  206 --   207	16.481	7.232	8.980	8.397	16.626	28.997
  207 --   208	16.748	7.731	9.599	8.023	16.626	29.789
  208 --   209	17.132	8.134	10.100	8.011	16.626	30.330
  209 --   210	19.274	6.956	8.637	9.567	17.293	30.914
  210 --   211	20.087	7.725	9.591	9.567	17.668	32.914
  211 --   212	20.292	7.702	9.563	9.567	18.459	32.914
  212 --   213	21.084	7.871	9.774	11.567	18.626	34.914
  213 --   214	21.032	7.906	9.816	11.567	18.333	34.955
  214 --   215	21.048	8.406	10.437	11.567	17.845	36.205
  215 --   216	21.462	8.257	10.253	13.567	17.836	36.872
  216 --   217	21.732	7.962	9.886	15.567	17.408	36.914
  217 --   218	21.880	8.742	10.854	15.567	17.313	38.914
  218 --   219	21.649	8.821	10.953	15.566	16.661	38.914
  219 --   220	21.539	8.850	10.989	15.440	16.598	38.904
  220 --   221	21.289	8.851	10.990	15.182	16.392	38.715
  221 --   222	21.512	8.647	10.737	14.658	18.323	38.456
  222 --   223	21.022	8.602	10.680	14.186	18.323	37.888
  223 --   224	20.626	7.995	9.927	13.665	18.599	36.151
  224 --   225	20.696	7.930	9.846	13.259	18.875	35.972
  225 --   226	20.602	7.932	9.848	12.942	18.875	35.819
  226 --   227	20.481	7.936	9.854	12.691	18.571	35.676
  227 --   228	20.263	7.688	9.546	12.258	18.420	34.841
  228 --   229	20.178	7.646	9.493	11.769	18.362	34.463
  229 --   230	20.567	7.506	9.320	11.738	19.363	34.392
  230 --   231	20.574	7.461	9.264	11.387	19.288	34.107
  231 --   232	20.779	7.412	9.203	11.387	19.354	34.107
  232 --   233	20.375	7.298	9.062	11.387	18.958	33.742
  233 --   234	20.672	7.132	8.856	11.387	19.307	33.368
  234 --   235	21.148	6.792	8.433	12.221	19.267	32.871
  235 --   236	21.154	6.515	8.089	13.137	18.798	32.621
  236 --   237	21.302	6.307	7.831	13.387	19.631	32.347
  237 --   238	21.706	5.699	7.076	15.387	20.423	31.975
  238 --   239	21.496	5.273	6.548	15.387	20.756	30.848
  239 --   240	21.683	5.135	6.376	15.370	22.233	30.459
  240 --   241	21.494	5.192	6.447	14.925	21.738	30.204
  241 --   242	21.226	5.801	7.203	13.636	21.155	30.183
  242 --   243	21.045	5.912	7.341	13.319	20.731	30.183
  243 --   244	21.152	6.846	8.500	12.543	20.715	32.183
  244 --   245	21.076	6.894	8.561	12.091	20.268	32.183
  245 --   246	21.221	7.381	9.165	11.208	19.897	32.183
  246 --   247	21.671	7.962	9.886	11.291	20.075	34.183
  247 --   248	21.853	7.976	9.904	11.291	20.759	34.183
  248 --   249	21.760	7.866	9.767	11.875	20.360	34.183
  249 --   250	21.844	7.781	9.661	12.208	20.602	34.168
  250 --   251	21.822	7.589	9.423	12.625	20.602	33.982
  251 --   252	21.684	7.522	9.339	12.625	20.602	33.704
  252 --   253	21.089	6.589	8.181	13.208	20.602	31.771
  253 --   254	21.005	6.465	8.027	13.208	20.602	31.404
  254 --   255	21.071	6.309	7.834	13.625	20.602	31.186
  255 --   256	21.470	5.918	7.348	15.208	20.977	31.141
  256 --   257	21.599	5.561	6.905	15.208	22.061	30.284
  257 --   258	22.041	5.003	6.213	15.937	22.352	29.934
  258 --   259	22.084	5.016	6.228	15.902	22.602	29.934
  259 --   260	22.237	4.921	6.110	16.126	22.602	29.934
  260 --   261	23.150	5.397	6.701	15.972	23.067	31.934
  261 --   262	23.288	5.630	6.991	15.532	22.993	31.934
  262 --   263	23.142	5.680	7.053	15.393	22.412	31.934
  263 --   264	23.318	5.990	7.438	15.369	22.365	32.892
  264 --   265	23.423	6.444	8.002	14.933	22.570	33.934
  265 --   266	23.296	6.450	8.008	14.889	22.390	33.934
  266 --   267	23.055	6.528	8.105	14.812	22.379	33.895
  267 --   268	22.341	6.778	8.416	13.914	21.462	33.635
  268 --   269	22.139	6.703	8.322	13.724	21.435	33.367
  269 --   270	21.865	6.449	8.007	13.778	21.046	32.693
  270 --   271	21.675	6.002	7.453	13.778	21.007	31.688
  271 --   272	21.499	5.867	7.285	13.778	20.979	31.371
  272 --   273	21.497	5.488	6.814	14.361	20.714	30.894
  273 --   274	20.981	4.785	5.941	14.528	20.714	29.069
  274 --   275	20.977	4.716	5.856	14.819	20.714	29.069
  275 --   276	21.044	4.710	5.848	14.819	21.006	29.069
  276 --   277	21.070	4.664	5.792	15.028	21.006	29.069
  277 --   278	22.456	4.924	6.114	16.819	21.506	31.069
  278 --   279	23.456	4.618	5.734	18.819	22.506	31.069
  279 --   280	23.156	4.495	5.582	18.819	22.506	31.069
  280 --   281	24.702	4.836	6.004	19.212	24.506	33.069
  281 --   282	24.702	4.836	6.004	19.212	24.506	33.069
  282 --   283	24.669	4.827	5.994	19.212	24.506	32.999
  283 --   284	25.086	4.895	6.078	19.212	26.451	32.821
  284 --   285	24.914	4.927	6.117	19.212	26.449	32.552
  285 --   286	24.695	5.080	6.307	19.007	26.382	32.300
  286 --   287	24.413	5.047	6.267	18.678	26.131	31.813
  287 --   288	23.973	4.993	6.200	18.381	25.657	31.504
  288 --   289	23.367	4.540	5.637	18.120	25.336	29.626
  289 --   290	22.943	4.425	5.494	17.807	24.344	28.922
  290 --   291	22.270	4.492	5.578	16.664	23.382	28.266
  291 --   292	21.506	4.565	5.669	16.226	22.984	28.251
  292 --   293	20.965	4.374	5.432	16.307	20.641	27.921
  293 --   294	20.930	4.351	5.403	16.305	20.683	27.921
  294 --   295	20.867	4.519	5.611	15.815	20.683	28.171
  295 --   296	20.965	4.452	5.528	15.815	21.183	28.671
  296 --   297	21.332	4.581	5.688	16.107	21.724	29.296
  297 --   298	21.882	4.589	5.697	16.440	21.900	29.880
  298 --   299	22.298	4.749	5.897	16.440	21.900	29.963
  299 --   300	23.549	5.120	6.357	16.693	22.317	31.546
  300 --   301	23.809	5.171	6.421	16.659	23.025	31.880
  301 --   302	24.112	5.075	6.301	16.470	23.025	31.880
  302 --   303	24.676	5.677	7.048	16.435	24.547	33.880
  303 --   304	24.836	5.794	7.194	16.122	25.438	33.873
  304 --   305	24.622	5.787	7.186	16.047	24.398	33.827
  305 --   306	24.423	5.884	7.306	15.467	24.280	33.574
  306 --   307	23.949	5.903	7.329	15.431	23.450	33.321
  307 --   308	23.632	5.797	7.198	14.900	23.778	32.667
  308 --   309	23.418	5.537	6.875	14.892	23.778	31.880
  309 --   310	23.245	5.394	6.697	14.845	23.778	31.449
  310 --   311	23.366	5.234	6.498	14.860	24.195	31.159
  311 --   312	23.438	5.109	6.343	14.801	24.189	30.833
  312 --   313	23.412	4.760	5.910	15.210	23.711	30.108
  313 --   314	23.543	4.764	5.916	15.177	24.445	29.853
  314 --   315	23.788	4.814	5.977	15.357	24.487	29.739
  315 --   316	24.233	4.990	6.196	15.267	26.445	29.557
